                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.667,                 14.376,                 5.8272,                 4.2464,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0478,                  5.091,                 10.569,                 4.1568,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 3.5977,                 14.105,                 5.8376,                 4.2964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0421,                 5.0877,                 10.569,                 4.1549,             1.0365e-05,             1.0365e-05,             1.0365e-05
                      3,                 3.6696,                 12.559,                 5.9551,                 4.2716,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0361,                 5.0846,                 10.569,                 4.1529,              8.092e-06,              8.092e-06,              8.092e-06
