                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1844,                 2.7769,                 2.0066,                 1.2179,                0.58469,                    0.4,                0.10953,                 0.0841,                0.58469,                    0.4,                0.13136,                0.07845,                0.52638,                 1.2346,                 45.331,                0.52689,              2.975e-05,              2.975e-05,              2.975e-05
                      2,                 1.1596,                 2.6405,                 1.8368,                 1.1939,                0.60319,                    0.2,                0.10843,                 0.0787,                0.60319,                    0.2,                0.12473,                0.07747,                0.55151,                 1.2493,                  39.18,                  0.532,             4.0662e-05,             4.0662e-05,             4.0662e-05
                      3,                 1.0989,                 2.4214,                 1.8762,                 1.1542,                0.59159,                    0.3,                0.11217,                0.08294,                0.59159,                    0.3,                 0.1272,                  0.078,                0.55527,                 1.2631,                 36.162,                0.53189,             3.1154e-05,             3.1154e-05,             3.1154e-05
